[run number],number-of-voters,majority-utility-stdev,majority-mean-utility,payoff-include-votes-cost?,behavior-under-qv,calibration,poll-response-rate,variance-of-pmp,r,voting-mechanism,limit-votes?,minority-fraction,[step],mean payoff-sign-list
6,1001,1,0,FALSE,rational,manual,1,0.01,0.25,1p1v,FALSE,0,100,0.75
3,1001,1,0,FALSE,rational,manual,1,0.01,0.1,1p1v,FALSE,0,100,0.75
2,1001,1,0,FALSE,rational,manual,1,0.01,0.05,1p1v,FALSE,0,100,0.76
7,1001,1,0,FALSE,rational,manual,1,0.01,0.3,1p1v,FALSE,0,100,0.78
8,1001,1,0,FALSE,rational,manual,1,0.01,0.35,1p1v,FALSE,0,100,0.83
4,1001,1,0,FALSE,rational,manual,1,0.01,0.15,1p1v,FALSE,0,100,0.8
5,1001,1,0,FALSE,rational,manual,1,0.01,0.2,1p1v,FALSE,0,100,0.84
1,1001,1,0,FALSE,rational,manual,1,0.01,0,1p1v,FALSE,0,100,0.78
9,1001,1,0,FALSE,rational,manual,1,0.01,0.4,1p1v,FALSE,0,100,0.86
10,1001,1,0,FALSE,rational,manual,1,0.01,0.45,1p1v,FALSE,0,100,0.8
11,1001,1,0,FALSE,rational,manual,1,0.01,0.5,1p1v,FALSE,0,100,0.74
12,1001,1,0,FALSE,rational,manual,1,0.01,0.55,1p1v,FALSE,0,100,0.81
15,1001,1,0,FALSE,rational,manual,1,0.01,0.7,1p1v,FALSE,0,100,0.76
13,1001,1,0,FALSE,rational,manual,1,0.01,0.6,1p1v,FALSE,0,100,0.82
14,1001,1,0,FALSE,rational,manual,1,0.01,0.65,1p1v,FALSE,0,100,0.89
16,1001,1,0,FALSE,rational,manual,1,0.01,0.75,1p1v,FALSE,0,100,0.78
17,1001,1,0,FALSE,rational,manual,1,0.01,0.8,1p1v,FALSE,0,100,0.81
19,1001,1,0,FALSE,rational,manual,1,0.01,0.9,1p1v,FALSE,0,100,0.83
20,1001,1,0,FALSE,rational,manual,1,0.01,0.95,1p1v,FALSE,0,100,0.77
18,1001,1,0,FALSE,rational,manual,1,0.01,0.85,1p1v,FALSE,0,100,0.79
21,1001,1,0,FALSE,rational,manual,1,0.01,1,1p1v,FALSE,0,100,0.78
22,1001,1,1,FALSE,rational,manual,1,0.01,0,1p1v,FALSE,0,100,1
23,1001,1,1,FALSE,rational,manual,1,0.01,0.05,1p1v,FALSE,0,100,1
24,1001,1,1,FALSE,rational,manual,1,0.01,0.1,1p1v,FALSE,0,100,1
25,1001,1,1,FALSE,rational,manual,1,0.01,0.15,1p1v,FALSE,0,100,1
26,1001,1,1,FALSE,rational,manual,1,0.01,0.2,1p1v,FALSE,0,100,1
27,1001,1,1,FALSE,rational,manual,1,0.01,0.25,1p1v,FALSE,0,100,1
29,1001,1,1,FALSE,rational,manual,1,0.01,0.35,1p1v,FALSE,0,100,1
30,1001,1,1,FALSE,rational,manual,1,0.01,0.4,1p1v,FALSE,0,100,1
31,1001,1,1,FALSE,rational,manual,1,0.01,0.45,1p1v,FALSE,0,100,1
28,1001,1,1,FALSE,rational,manual,1,0.01,0.3,1p1v,FALSE,0,100,1
32,1001,1,1,FALSE,rational,manual,1,0.01,0.5,1p1v,FALSE,0,100,1
33,1001,1,1,FALSE,rational,manual,1,0.01,0.55,1p1v,FALSE,0,100,1
35,1001,1,1,FALSE,rational,manual,1,0.01,0.65,1p1v,FALSE,0,100,1
34,1001,1,1,FALSE,rational,manual,1,0.01,0.6,1p1v,FALSE,0,100,1
36,1001,1,1,FALSE,rational,manual,1,0.01,0.7,1p1v,FALSE,0,100,1
37,1001,1,1,FALSE,rational,manual,1,0.01,0.75,1p1v,FALSE,0,100,1
38,1001,1,1,FALSE,rational,manual,1,0.01,0.8,1p1v,FALSE,0,100,1
39,1001,1,1,FALSE,rational,manual,1,0.01,0.85,1p1v,FALSE,0,100,1
40,1001,1,1,FALSE,rational,manual,1,0.01,0.9,1p1v,FALSE,0,100,1
41,1001,1,1,FALSE,rational,manual,1,0.01,0.95,1p1v,FALSE,0,100,1
42,1001,1,1,FALSE,rational,manual,1,0.01,1,1p1v,FALSE,0,100,1
43,1001,1,4,FALSE,rational,manual,1,0.01,0,1p1v,FALSE,0,100,1
45,1001,1,4,FALSE,rational,manual,1,0.01,0.1,1p1v,FALSE,0,100,1
44,1001,1,4,FALSE,rational,manual,1,0.01,0.05,1p1v,FALSE,0,100,1
46,1001,1,4,FALSE,rational,manual,1,0.01,0.15,1p1v,FALSE,0,100,1
47,1001,1,4,FALSE,rational,manual,1,0.01,0.2,1p1v,FALSE,0,100,1
48,1001,1,4,FALSE,rational,manual,1,0.01,0.25,1p1v,FALSE,0,100,1
49,1001,1,4,FALSE,rational,manual,1,0.01,0.3,1p1v,FALSE,0,100,1
50,1001,1,4,FALSE,rational,manual,1,0.01,0.35,1p1v,FALSE,0,100,1
51,1001,1,4,FALSE,rational,manual,1,0.01,0.4,1p1v,FALSE,0,100,1
52,1001,1,4,FALSE,rational,manual,1,0.01,0.45,1p1v,FALSE,0,100,1
53,1001,1,4,FALSE,rational,manual,1,0.01,0.5,1p1v,FALSE,0,100,1
54,1001,1,4,FALSE,rational,manual,1,0.01,0.55,1p1v,FALSE,0,100,1
55,1001,1,4,FALSE,rational,manual,1,0.01,0.6,1p1v,FALSE,0,100,1
56,1001,1,4,FALSE,rational,manual,1,0.01,0.65,1p1v,FALSE,0,100,1
57,1001,1,4,FALSE,rational,manual,1,0.01,0.7,1p1v,FALSE,0,100,1
59,1001,1,4,FALSE,rational,manual,1,0.01,0.8,1p1v,FALSE,0,100,1
58,1001,1,4,FALSE,rational,manual,1,0.01,0.75,1p1v,FALSE,0,100,1
60,1001,1,4,FALSE,rational,manual,1,0.01,0.85,1p1v,FALSE,0,100,1
61,1001,1,4,FALSE,rational,manual,1,0.01,0.9,1p1v,FALSE,0,100,1
62,1001,1,4,FALSE,rational,manual,1,0.01,0.95,1p1v,FALSE,0,100,1
63,1001,1,4,FALSE,rational,manual,1,0.01,1,1p1v,FALSE,0,100,1
64,1001,3,0,FALSE,rational,manual,1,0.01,0,1p1v,FALSE,0,100,0.82
65,1001,3,0,FALSE,rational,manual,1,0.01,0.05,1p1v,FALSE,0,100,0.73
67,1001,3,0,FALSE,rational,manual,1,0.01,0.15,1p1v,FALSE,0,100,0.78
66,1001,3,0,FALSE,rational,manual,1,0.01,0.1,1p1v,FALSE,0,100,0.87
68,1001,3,0,FALSE,rational,manual,1,0.01,0.2,1p1v,FALSE,0,100,0.89
69,1001,3,0,FALSE,rational,manual,1,0.01,0.25,1p1v,FALSE,0,100,0.79
70,1001,3,0,FALSE,rational,manual,1,0.01,0.3,1p1v,FALSE,0,100,0.78
71,1001,3,0,FALSE,rational,manual,1,0.01,0.35,1p1v,FALSE,0,100,0.81
72,1001,3,0,FALSE,rational,manual,1,0.01,0.4,1p1v,FALSE,0,100,0.86
73,1001,3,0,FALSE,rational,manual,1,0.01,0.45,1p1v,FALSE,0,100,0.77
74,1001,3,0,FALSE,rational,manual,1,0.01,0.5,1p1v,FALSE,0,100,0.76
75,1001,3,0,FALSE,rational,manual,1,0.01,0.55,1p1v,FALSE,0,100,0.84
76,1001,3,0,FALSE,rational,manual,1,0.01,0.6,1p1v,FALSE,0,100,0.82
77,1001,3,0,FALSE,rational,manual,1,0.01,0.65,1p1v,FALSE,0,100,0.85
78,1001,3,0,FALSE,rational,manual,1,0.01,0.7,1p1v,FALSE,0,100,0.83
79,1001,3,0,FALSE,rational,manual,1,0.01,0.75,1p1v,FALSE,0,100,0.8
81,1001,3,0,FALSE,rational,manual,1,0.01,0.85,1p1v,FALSE,0,100,0.77
82,1001,3,0,FALSE,rational,manual,1,0.01,0.9,1p1v,FALSE,0,100,0.84
80,1001,3,0,FALSE,rational,manual,1,0.01,0.8,1p1v,FALSE,0,100,0.75
83,1001,3,0,FALSE,rational,manual,1,0.01,0.95,1p1v,FALSE,0,100,0.87
84,1001,3,0,FALSE,rational,manual,1,0.01,1,1p1v,FALSE,0,100,0.76
85,1001,3,1,FALSE,rational,manual,1,0.01,0,1p1v,FALSE,0,100,1
86,1001,3,1,FALSE,rational,manual,1,0.01,0.05,1p1v,FALSE,0,100,1
87,1001,3,1,FALSE,rational,manual,1,0.01,0.1,1p1v,FALSE,0,100,1
88,1001,3,1,FALSE,rational,manual,1,0.01,0.15,1p1v,FALSE,0,100,1
89,1001,3,1,FALSE,rational,manual,1,0.01,0.2,1p1v,FALSE,0,100,1
91,1001,3,1,FALSE,rational,manual,1,0.01,0.3,1p1v,FALSE,0,100,1
90,1001,3,1,FALSE,rational,manual,1,0.01,0.25,1p1v,FALSE,0,100,1
92,1001,3,1,FALSE,rational,manual,1,0.01,0.35,1p1v,FALSE,0,100,1
93,1001,3,1,FALSE,rational,manual,1,0.01,0.4,1p1v,FALSE,0,100,1
94,1001,3,1,FALSE,rational,manual,1,0.01,0.45,1p1v,FALSE,0,100,1
95,1001,3,1,FALSE,rational,manual,1,0.01,0.5,1p1v,FALSE,0,100,1
96,1001,3,1,FALSE,rational,manual,1,0.01,0.55,1p1v,FALSE,0,100,1
97,1001,3,1,FALSE,rational,manual,1,0.01,0.6,1p1v,FALSE,0,100,1
98,1001,3,1,FALSE,rational,manual,1,0.01,0.65,1p1v,FALSE,0,100,1
100,1001,3,1,FALSE,rational,manual,1,0.01,0.75,1p1v,FALSE,0,100,1
99,1001,3,1,FALSE,rational,manual,1,0.01,0.7,1p1v,FALSE,0,100,1
102,1001,3,1,FALSE,rational,manual,1,0.01,0.85,1p1v,FALSE,0,100,1
101,1001,3,1,FALSE,rational,manual,1,0.01,0.8,1p1v,FALSE,0,100,1
103,1001,3,1,FALSE,rational,manual,1,0.01,0.9,1p1v,FALSE,0,100,1
104,1001,3,1,FALSE,rational,manual,1,0.01,0.95,1p1v,FALSE,0,100,1
105,1001,3,1,FALSE,rational,manual,1,0.01,1,1p1v,FALSE,0,100,1
106,1001,3,4,FALSE,rational,manual,1,0.01,0,1p1v,FALSE,0,100,1
107,1001,3,4,FALSE,rational,manual,1,0.01,0.05,1p1v,FALSE,0,100,1
108,1001,3,4,FALSE,rational,manual,1,0.01,0.1,1p1v,FALSE,0,100,1
109,1001,3,4,FALSE,rational,manual,1,0.01,0.15,1p1v,FALSE,0,100,1
110,1001,3,4,FALSE,rational,manual,1,0.01,0.2,1p1v,FALSE,0,100,1
111,1001,3,4,FALSE,rational,manual,1,0.01,0.25,1p1v,FALSE,0,100,1
112,1001,3,4,FALSE,rational,manual,1,0.01,0.3,1p1v,FALSE,0,100,1
114,1001,3,4,FALSE,rational,manual,1,0.01,0.4,1p1v,FALSE,0,100,1
113,1001,3,4,FALSE,rational,manual,1,0.01,0.35,1p1v,FALSE,0,100,1
115,1001,3,4,FALSE,rational,manual,1,0.01,0.45,1p1v,FALSE,0,100,1
117,1001,3,4,FALSE,rational,manual,1,0.01,0.55,1p1v,FALSE,0,100,1
118,1001,3,4,FALSE,rational,manual,1,0.01,0.6,1p1v,FALSE,0,100,1
116,1001,3,4,FALSE,rational,manual,1,0.01,0.5,1p1v,FALSE,0,100,1
119,1001,3,4,FALSE,rational,manual,1,0.01,0.65,1p1v,FALSE,0,100,1
120,1001,3,4,FALSE,rational,manual,1,0.01,0.7,1p1v,FALSE,0,100,1
121,1001,3,4,FALSE,rational,manual,1,0.01,0.75,1p1v,FALSE,0,100,1
122,1001,3,4,FALSE,rational,manual,1,0.01,0.8,1p1v,FALSE,0,100,1
123,1001,3,4,FALSE,rational,manual,1,0.01,0.85,1p1v,FALSE,0,100,1
124,1001,3,4,FALSE,rational,manual,1,0.01,0.9,1p1v,FALSE,0,100,1
125,1001,3,4,FALSE,rational,manual,1,0.01,0.95,1p1v,FALSE,0,100,1
126,1001,3,4,FALSE,rational,manual,1,0.01,1,1p1v,FALSE,0,100,1
127,1001,5,0,FALSE,rational,manual,1,0.01,0,1p1v,FALSE,0,100,0.8
128,1001,5,0,FALSE,rational,manual,1,0.01,0.05,1p1v,FALSE,0,100,0.74
129,1001,5,0,FALSE,rational,manual,1,0.01,0.1,1p1v,FALSE,0,100,0.77
130,1001,5,0,FALSE,rational,manual,1,0.01,0.15,1p1v,FALSE,0,100,0.82
131,1001,5,0,FALSE,rational,manual,1,0.01,0.2,1p1v,FALSE,0,100,0.85
132,1001,5,0,FALSE,rational,manual,1,0.01,0.25,1p1v,FALSE,0,100,0.83
133,1001,5,0,FALSE,rational,manual,1,0.01,0.3,1p1v,FALSE,0,100,0.75
134,1001,5,0,FALSE,rational,manual,1,0.01,0.35,1p1v,FALSE,0,100,0.8
135,1001,5,0,FALSE,rational,manual,1,0.01,0.4,1p1v,FALSE,0,100,0.8
136,1001,5,0,FALSE,rational,manual,1,0.01,0.45,1p1v,FALSE,0,100,0.79
137,1001,5,0,FALSE,rational,manual,1,0.01,0.5,1p1v,FALSE,0,100,0.78
138,1001,5,0,FALSE,rational,manual,1,0.01,0.55,1p1v,FALSE,0,100,0.78
139,1001,5,0,FALSE,rational,manual,1,0.01,0.6,1p1v,FALSE,0,100,0.86
140,1001,5,0,FALSE,rational,manual,1,0.01,0.65,1p1v,FALSE,0,100,0.8
141,1001,5,0,FALSE,rational,manual,1,0.01,0.7,1p1v,FALSE,0,100,0.81
142,1001,5,0,FALSE,rational,manual,1,0.01,0.75,1p1v,FALSE,0,100,0.8
143,1001,5,0,FALSE,rational,manual,1,0.01,0.8,1p1v,FALSE,0,100,0.81
144,1001,5,0,FALSE,rational,manual,1,0.01,0.85,1p1v,FALSE,0,100,0.8
146,1001,5,0,FALSE,rational,manual,1,0.01,0.95,1p1v,FALSE,0,100,0.77
145,1001,5,0,FALSE,rational,manual,1,0.01,0.9,1p1v,FALSE,0,100,0.83
147,1001,5,0,FALSE,rational,manual,1,0.01,1,1p1v,FALSE,0,100,0.86
148,1001,5,1,FALSE,rational,manual,1,0.01,0,1p1v,FALSE,0,100,1
149,1001,5,1,FALSE,rational,manual,1,0.01,0.05,1p1v,FALSE,0,100,1
150,1001,5,1,FALSE,rational,manual,1,0.01,0.1,1p1v,FALSE,0,100,1
151,1001,5,1,FALSE,rational,manual,1,0.01,0.15,1p1v,FALSE,0,100,1
152,1001,5,1,FALSE,rational,manual,1,0.01,0.2,1p1v,FALSE,0,100,1
153,1001,5,1,FALSE,rational,manual,1,0.01,0.25,1p1v,FALSE,0,100,1
154,1001,5,1,FALSE,rational,manual,1,0.01,0.3,1p1v,FALSE,0,100,1
155,1001,5,1,FALSE,rational,manual,1,0.01,0.35,1p1v,FALSE,0,100,1
156,1001,5,1,FALSE,rational,manual,1,0.01,0.4,1p1v,FALSE,0,100,1
157,1001,5,1,FALSE,rational,manual,1,0.01,0.45,1p1v,FALSE,0,100,1
158,1001,5,1,FALSE,rational,manual,1,0.01,0.5,1p1v,FALSE,0,100,1
159,1001,5,1,FALSE,rational,manual,1,0.01,0.55,1p1v,FALSE,0,100,1
160,1001,5,1,FALSE,rational,manual,1,0.01,0.6,1p1v,FALSE,0,100,1
162,1001,5,1,FALSE,rational,manual,1,0.01,0.7,1p1v,FALSE,0,100,1
161,1001,5,1,FALSE,rational,manual,1,0.01,0.65,1p1v,FALSE,0,100,1
163,1001,5,1,FALSE,rational,manual,1,0.01,0.75,1p1v,FALSE,0,100,1
164,1001,5,1,FALSE,rational,manual,1,0.01,0.8,1p1v,FALSE,0,100,1
165,1001,5,1,FALSE,rational,manual,1,0.01,0.85,1p1v,FALSE,0,100,1
166,1001,5,1,FALSE,rational,manual,1,0.01,0.9,1p1v,FALSE,0,100,1
167,1001,5,1,FALSE,rational,manual,1,0.01,0.95,1p1v,FALSE,0,100,1
168,1001,5,1,FALSE,rational,manual,1,0.01,1,1p1v,FALSE,0,100,1
170,1001,5,4,FALSE,rational,manual,1,0.01,0.05,1p1v,FALSE,0,100,1
169,1001,5,4,FALSE,rational,manual,1,0.01,0,1p1v,FALSE,0,100,1
171,1001,5,4,FALSE,rational,manual,1,0.01,0.1,1p1v,FALSE,0,100,1
172,1001,5,4,FALSE,rational,manual,1,0.01,0.15,1p1v,FALSE,0,100,1
173,1001,5,4,FALSE,rational,manual,1,0.01,0.2,1p1v,FALSE,0,100,1
174,1001,5,4,FALSE,rational,manual,1,0.01,0.25,1p1v,FALSE,0,100,1
175,1001,5,4,FALSE,rational,manual,1,0.01,0.3,1p1v,FALSE,0,100,1
176,1001,5,4,FALSE,rational,manual,1,0.01,0.35,1p1v,FALSE,0,100,1
178,1001,5,4,FALSE,rational,manual,1,0.01,0.45,1p1v,FALSE,0,100,1
177,1001,5,4,FALSE,rational,manual,1,0.01,0.4,1p1v,FALSE,0,100,1
179,1001,5,4,FALSE,rational,manual,1,0.01,0.5,1p1v,FALSE,0,100,1
180,1001,5,4,FALSE,rational,manual,1,0.01,0.55,1p1v,FALSE,0,100,1
181,1001,5,4,FALSE,rational,manual,1,0.01,0.6,1p1v,FALSE,0,100,1
183,1001,5,4,FALSE,rational,manual,1,0.01,0.7,1p1v,FALSE,0,100,1
186,1001,5,4,FALSE,rational,manual,1,0.01,0.85,1p1v,FALSE,0,100,1
184,1001,5,4,FALSE,rational,manual,1,0.01,0.75,1p1v,FALSE,0,100,1
185,1001,5,4,FALSE,rational,manual,1,0.01,0.8,1p1v,FALSE,0,100,1
182,1001,5,4,FALSE,rational,manual,1,0.01,0.65,1p1v,FALSE,0,100,1
187,1001,5,4,FALSE,rational,manual,1,0.01,0.9,1p1v,FALSE,0,100,1
188,1001,5,4,FALSE,rational,manual,1,0.01,0.95,1p1v,FALSE,0,100,1
189,1001,5,4,FALSE,rational,manual,1,0.01,1,1p1v,FALSE,0,100,1
